epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.4622,2.57353,73.2391,1.34613,9e-05,0.01389,5e-05,0,4.76656,inf,1.57017,0.082,0.002,0.002
2,10.8256,3.22131,109.302,1.69674,0,0,0,0,nan,nan,nan,0.063099,0.004099,0.004099
3,15.5017,2.62257,2.91375,1.47481,0,0,0,0,nan,nan,nan,0.0441939,0.00619394,0.00619394
4,20.4797,2.19609,3.90512,1.40666,0,0,0,0,nan,nan,nan,0.0252818,0.00828177,0.00828177
5,25.1556,1.7685,1.91591,1.15898,0,0,0,0,nan,nan,nan,0.00996097,0.00996097,0.00996097
6,29.7555,1.90293,1.25364,1.19475,0,0,0,0,nan,nan,nan,0.00993906,0.00993906,0.00993906
7,34.2904,1.72999,1.06166,1.14616,0,0,0,0,nan,nan,nan,0.00991232,0.00991232,0.00991232
8,38.7514,1.45802,0.86043,1.05858,0,0,0,0,nan,nan,nan,0.00988079,0.00988079,0.00988079
9,43.3874,1.35074,0.79976,1.01802,0,0,0,0,nan,nan,nan,0.00984449,0.00984449,0.00984449
10,47.9113,1.27625,0.74251,0.98117,0,0,0,0,nan,nan,nan,0.00980345,0.00980345,0.00980345
11,52.5059,1.33214,0.7383,0.99751,0,0,0,0,nan,nan,nan,0.00975773,0.00975773,0.00975773
12,57.1007,1.29887,0.70421,0.9754,0,0,0,0,nan,nan,nan,0.00970736,0.00970736,0.00970736
13,61.5914,1.28526,0.66584,0.96512,0,0,0,0,nan,nan,nan,0.00965239,0.00965239,0.00965239
14,66.1192,1.31073,0.68435,0.97153,0,0,0,0,0,0.25391,0,0.00959289,0.00959289,0.00959289
15,70.7055,1.20012,0.64859,0.93512,0,0,0,0,0,0.00716,0,0.00952889,0.00952889,0.00952889
16,75.3227,1.13984,0.6062,0.91812,0,0,0,0,2.02032,5.34564,4.07762,0.00946048,0.00946048,0.00946048
17,80.0429,1.1996,0.584,0.9391,0.88853,0.61111,0.80091,0.39737,2.20657,1.80202,1.53511,0.00938772,0.00938772,0.00938772
18,85.0243,1.13217,0.57521,0.92272,0.99693,1,0.995,0.66065,1.31891,0.74546,0.99967,0.00931067,0.00931067,0.00931067
19,90.1212,1.06338,0.56216,0.92689,0.99777,1,0.995,0.65105,1.42016,0.77109,1.02135,0.00922942,0.00922942,0.00922942
20,95.1442,1.09234,0.55538,0.92413,0.96574,0.98611,0.99323,0.55495,1.70708,0.83735,1.09938,0.00914405,0.00914405,0.00914405
21,100.18,1.08337,0.54428,0.91697,0.99762,1,0.995,0.63308,1.37627,0.61526,1.01439,0.00905463,0.00905463,0.00905463
22,105.365,1.091,0.52751,0.91597,0.99888,1,0.995,0.70875,1.22262,0.56653,0.95106,0.00896127,0.00896127,0.00896127
23,110.443,1.06183,0.52971,0.89655,0.99896,1,0.995,0.76859,0.89413,0.48441,0.8796,0.00886404,0.00886404,0.00886404
24,115.51,1.07441,0.51531,0.90917,0.99905,1,0.995,0.78674,0.84082,0.44627,0.86654,0.00876305,0.00876305,0.00876305
25,120.62,1.00314,0.48661,0.90416,0.99911,1,0.995,0.75357,0.86135,0.40726,0.87491,0.00865839,0.00865839,0.00865839
26,125.665,0.99445,0.48835,0.90386,0.9991,1,0.995,0.77256,0.8232,0.40472,0.86674,0.00855018,0.00855018,0.00855018
27,130.473,0.96475,0.48076,0.89058,0.9991,1,0.995,0.78211,0.78125,0.41177,0.86966,0.00843851,0.00843851,0.00843851
28,135.425,1.00443,0.5017,0.89909,0.99902,1,0.995,0.77656,0.76673,0.4159,0.86722,0.00832349,0.00832349,0.00832349
29,140.062,0.99862,0.48074,0.88656,1,1,0.995,0.77036,0.8838,0.41741,0.88001,0.00820525,0.00820525,0.00820525
30,145.136,0.93863,0.46918,0.87016,0.99909,1,0.995,0.8129,0.78249,0.41878,0.85562,0.00808389,0.00808389,0.00808389
31,150.02,0.94256,0.46037,0.88666,0.99913,1,0.995,0.75079,0.87886,0.43551,0.86543,0.00795954,0.00795954,0.00795954
32,155.077,0.96851,0.47375,0.85988,0.99909,1,0.995,0.72738,1.11722,0.45229,0.92229,0.00783231,0.00783231,0.00783231
33,160.003,0.9029,0.45292,0.87479,0.9989,1,0.995,0.80087,0.83146,0.41802,0.86658,0.00770234,0.00770234,0.00770234
34,164.964,0.94233,0.45882,0.86907,0.99914,1,0.995,0.77952,0.94725,0.39952,0.88456,0.00756976,0.00756976,0.00756976
35,169.558,0.90903,0.45842,0.86313,0.99906,1,0.995,0.78403,0.87631,0.39637,0.86859,0.00743468,0.00743468,0.00743468
36,174.374,0.93862,0.43882,0.88726,0.99888,1,0.995,0.80108,0.82383,0.3886,0.86041,0.00729725,0.00729725,0.00729725
37,178.946,0.92493,0.47821,0.86919,0.99906,1,0.995,0.78062,0.81968,0.40485,0.86833,0.00715761,0.00715761,0.00715761
38,183.762,0.93828,0.44707,0.86651,0.99908,1,0.995,0.77536,0.99914,0.45833,0.90491,0.00701588,0.00701588,0.00701588
39,188.43,0.89536,0.4598,0.8811,0.99877,1,0.995,0.78012,0.8788,0.41248,0.86692,0.00687222,0.00687222,0.00687222
40,193.254,0.96922,0.49316,0.89228,0.99833,1,0.995,0.74619,0.87915,0.43736,0.86614,0.00672675,0.00672675,0.00672675
41,197.966,0.93964,0.47005,0.87218,0.99873,1,0.995,0.78627,0.79989,0.41556,0.86277,0.00657963,0.00657963,0.00657963
42,202.913,0.9265,0.43837,0.87133,0.99896,1,0.995,0.74598,0.98794,0.4183,0.88419,0.00643101,0.00643101,0.00643101
43,207.577,0.96845,0.45843,0.88568,0.99911,1,0.995,0.81222,0.82699,0.37865,0.86697,0.00628101,0.00628101,0.00628101
44,212.463,0.98258,0.45739,0.88382,0.99906,1,0.995,0.79918,0.82304,0.41268,0.86583,0.00612981,0.00612981,0.00612981
45,217.164,0.93562,0.4575,0.88182,0.99906,1,0.995,0.81635,0.84664,0.39601,0.87226,0.00597754,0.00597754,0.00597754
46,222.238,0.88362,0.46596,0.87374,0.99913,1,0.995,0.78803,0.99244,0.43411,0.88958,0.00582435,0.00582435,0.00582435
47,226.856,0.96973,0.45847,0.8839,1,1,0.995,0.82718,0.77103,0.38015,0.86146,0.0056704,0.0056704,0.0056704
